"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGT","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT10","WT11","WT13","WT14","WT16","WT17","WT18","WT21","WV03"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-23",,,,,," 0930","0.00",,"0.0","0.0",,"43","28",,,,,"   68",,,,"25.3",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-24",,,,,," 1412","0.02",,"0.0","0.0",,"41","32",,,,,"   45",,,,"12.8",,,,"    1",,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-25",,,,,," 0842","0.00",,"0.0","0.0",,"58","34",,,,,"   45",,,,"18.3",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-26",,,,,," 0942","0.00",,"0.0","0.0",,"74","47",,,,,"   90",,,,"25.3","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-27",,,,,," 0842","0.43",,"0.0","0.0",,"75","55",,,,,"  248",,,,"26.4","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-28",,,,,," 2342","0.00",,"0.0","0.0",,"69","52",,,,,"  158",,,,"16.1","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-29",,,,,," 1754","0.34",,"0.0","0.0",,"63","43",,,,,"  315",,,,"40.3","    1",,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-30",,,,,," 0112","0.00",,"0.0","0.0",,"48","41",,,,,"  338",,,,"39.1",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-31",,,,,," 1200","0.00",,"0.0","0.0",,"46","42",,,,,"  360",,,,"13.9",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-01",,,,,," 0830","0.00",,"0.0","0.0",,"50","45",,,,,"   68",,,,"12.8","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-02",,,,,," 0706","0.00",,"0.0","0.0",,"56","46",,,,,"  293",,,,"12.8","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-03",,,,,," 1536","1.57",,"0.0","0.0",,"74","50",,,,,"  135",,,,"38.0","    1",,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-04",,,,,," 1248","0.02",,"0.0","0.0",,"71","40",,,,,"  180",,,,"26.4","    1",,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-05",,,,,," 1354","0.00",,"0.0","0.0",,"60","44",,,,,"  270",,,,"30.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-06",,,,,," 0424","0.00",,"0.0","0.0",,"58","39",,,,,"  293",,,,"20.8",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-07",,,,,," 1330","0.00",,"0.0","0.0",,"63","34",,,,,"  360",,,,"15.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-08",,,,,," 1148","0.00",,"0.0","0.0",,"71","39",,,,,"  225",,,,"27.5",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-09",,,,,," 1030","0.00",,"0.0","0.0",,"73","55",,,,,"  203",,,,"39.1",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-10",,,,,," 1506","0.00",,"0.0","0.0",,"77","52",,,,,"  293",,,,"31.1",,,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-11",,,,,," 2312","0.00",,"0.0","0.0",,"59","44",,,,,"   45",,,,"24.2",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-12",,,,,," 1724","1.32",,"0.0","0.0",,"50","36",,,,,"   23",,,,"42.5","    1",,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-13",,,,,," 0736","0.04",,"0.0","0.0",,"44","28",,,,,"  315",,,,"36.7",,,,"    1",,,,,,,,,"    1",,"    1",,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-14",,,,,," 1130","0.00",,"0.0","0.0",,"51","23",,,,,"   68",,,,"17.2",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-15",,,,,," 1448","0.22",,"0.0","0.0",,"58","29",,,,,"  113",,,,"24.2","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-16",,,,,," 0012","0.00",,"0.0","0.0",,"56","35",,,,,"   23",,,,"17.2","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-17",,,,,," 2336","0.07",,"0.0","0.0",,"60","34",,,,,"  248",,,,"28.9","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-18",,,,,," 0154","0.00",,"0.0","0.0",,"53","39",,,,,"  293",,,,"39.1",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-19",,,,,," 0818","0.00",,"0.0","0.0",,"53","33",,,,,"  315",,,,"21.9",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-20",,,,,," 1106","0.00",,"0.0","0.0",,"53","29",,,,,"  113",,,,"30.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-21",,,,,," 0948","1.30",,"0.0","0.0",,"62","49",,,,,"   23",,,,"27.5","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-22",,,,,," 0542","0.21",,"0.0","0.0",,"55","37",,,,,"  338",,,,"19.5","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-23",,,,,," 1218","0.00",,"0.0","0.0",,"62","33",,,,,"   68",,,,"23.0","    1",,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-24",,,,,," 0206","0.02",,"0.0","0.0",,"68","44",,,,,"  135",,,,"25.3","    1",,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-25",,,,,," 0112","0.00",,"0.0","0.0",,"63","35",,,,,"  293",,,,"38.0","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-26",,,,,," 0142","0.00",,"0.0","0.0",,"52","31",,,,,"  338",,,,"19.5",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-27",,,,,," 1818","0.00",,"0.0","0.0",,"58","30",,,,,"  113",,,,"23.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-28",,,,,," 2230","0.00",,"0.0","0.0",,"74","51",,,,,"  360",,,,"15.0","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-02-29",,,,,," 1354","0.00",,"0.0","0.0",,"60","49",,,,,"  360",,,,"23.0","    1",,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-01",,,,,," 1212","0.00",,"0.0","0.0",,"51","46",,,,,"   45",,,,"26.4",,,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-02",,,,,," 1548","0.00",,"0.0","0.0",,"75","44",,,,,"  270",,,,"36.7","    1",,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-03",,,,,," 0048","0.00",,"0.0","0.0",,"51","35",,,,,"  315",,,,"32.2",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-04",,,,,," 0230","0.00",,"0.0","0.0",,"51","31",,,,,"   45",,,,"25.3",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-05",,,,,," 0612","0.00",,"0.0","0.0",,"45","35",,,,,"   45",,,,"20.8",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-06",,,,,," 1306","0.00",,"0.0","0.0",,"52","31",,,,,"   68",,,,"20.8",,,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-07",,,,,," 1012","0.00",,"0.0","0.0",,"47","41",,,,,"   45",,,,"18.3","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-08",,,,,," 2106","0.02",,"0.0","0.0",,"59","42",,,,,"  135",,,,"21.9","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-09",,,,,," 1354","0.00",,"0.0","0.0",,"77","54",,,,,"  248",,,,"28.9","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-10",,,,,," 2106","0.00",,"0.0","0.0",,"68","53",,,,,"  135",,,,"21.9","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-11",,,,,," 1354","0.00",,"0.0","0.0",,"62","44",,,,,"  360",,,,"31.1","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-12",,,,,," 0824","0.00",,"0.0","0.0",,"58","39",,,,,"   45",,,,"25.3",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-13",,,,,," 0800","0.00",,"0.0","0.0",,"58","39",,,,,"   68",,,,"24.2",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-14",,,,,," 1306","0.02",,"0.0","0.0",,"68","41",,,,,"  113",,,,"25.3","    1",,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-15",,,,,," 0024","0.96",,"0.0","0.0",,"74","60",,,,,"  158",,,,"23.0","    1",,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-16",,,,,," 1330","0.00",,"0.0","0.0",,"67","44",,,,,"  360",,,,"20.8","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-17",,,,,," 0930","0.00",,"0.0","0.0",,"58","45",,,,,"  338",,,,"30.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-18",,,,,," 0224","0.00",,"0.0","0.0",,"62","33",,,,,"  248",,,,"28.9",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-19",,,,,," 1342","0.00",,"0.0","0.0",,"72","45",,,,,"  293",,,,"36.7",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-20",,,,,," 1248","0.00",,"0.0","0.0",,"68","38",,,,,"  360",,,,"16.1",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-21",,,,,," 0730","0.00",,"0.0","0.0",,"65","38",,,,,"   45",,,,"21.9",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-22",,,,,," 1336","0.00",,"0.0","0.0",,"77","36",,,,,"  225",,,,"23.0","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-23",,,,,," 2036","0.00",,"0.0","0.0",,"79","59",,,,,"  248",,,,"19.5",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-24",,,,,," 1518","0.00",,"0.0","0.0",,"80","53",,,,,"  248",,,,"27.5","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-25",,,,,," 1518","0.00",,"0.0","0.0",,"76","50",,,,,"  158",,,,"20.8",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-26",,,,,," 1342","0.00",,"0.0","0.0",,"78","62",,,,,"   68",,,,"19.5","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-27",,,,,," 1130","2.53",,"0.0","0.0",,"74","61",,,,,"  158",,,,"27.5","    1",,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-28",,,,,," 2130","0.00",,"0.0","0.0",,"74","63",,,,,"  180",,,,"18.3","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-29",,,,,," 0942","0.15",,"0.0","0.0",,"75","68",,,,,"  203",,,,"28.9","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-30",,,,,," 1400","0.00",,"0.0","0.0",,"77","51",,,,,"  270",,,,"32.2",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-03-31",,,,,," 1606","0.00",,"0.0","0.0",,"78","45",,,,,"  158",,,,"16.1","    1",,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-01",,,,,," 2024","1.91",,"0.0","0.0",,"76","53",,,,,"  158",,,,"28.9","    1",,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-02",,,,,," 2336","2.30",,"0.0","0.0",,"79","63",,,,,"  315",,,,"32.2","    1",,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-03",,,,,," 0124","0.21",,"0.0","0.0",,"70","59",,,,,"   68",,,,"48.3",,,"    1",,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-04",,,,,," 0700","0.00",,"0.0","0.0",,"69","50",,,,,"  360",,,,"23.0",,,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-05",,,,,," 1324","0.00",,"0.0","0.0",,"71","47",,,,,"  338",,,,"20.8",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-06",,,,,," 1512","0.00",,"0.0","0.0",,"78","49",,,,,"  270",,,,"30.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-07",,,,,," 0936","0.00",,"0.0","0.0",,"78","55",,,,,"  248",,,,"30.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-08",,,,,," 1436","0.00",,"0.0","0.0",,"77","52",,,,,"  225",,,,"21.9","    1",,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-09",,,,,," 1554","0.00",,"0.0","0.0",,"74","53",,,,,"   23",,,,"24.2","    1",,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-10",,,,,," 0824","0.00",,"0.0","0.0",,"68","46",,,,,"   45",,,,"24.2",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-11",,,,,," 1048","0.00",,"0.0","0.0",,"71","41",,,,,"  135",,,,"23.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-12",,,,,," 1530","0.00",,"0.0","0.0",,"74","48",,,,,"  180",,,,"24.2",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-13",,,,,," 0948","0.00",,"0.0","0.0",,"75","58",,,,,"  135",,,,"28.9",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-14",,,,,," 1406","0.00",,"0.0","0.0",,"79","60",,,,,"  180",,,,"23.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-15",,,,,," 1254","0.00",,"0.0","0.0",,"80","58",,,,,"  180",,,,"18.3","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-16",,,,,," 1618","0.00",,"0.0","0.0",,"80","58",,,,,"  180",,,,"18.3","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-17",,,,,," 0818","0.01",,"0.0","0.0",,"79","65",,,,,"  180",,,,"15.0",,,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-18",,,,,," 0542","0.10",,"0.0","0.0",,"72","55",,,,,"   23",,,,"26.4",,,"    1",,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-19",,,,,," 1542","0.00",,"0.0","0.0",,"79","51",,,,,"  293",,,,"12.8",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-20",,,,,," 1648","0.00",,"0.0","0.0",,"82","55",,,,,"  158",,,,"19.5","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-21",,,,,," 1506","0.00",,"0.0","0.0",,"86","59",,,,,"  113",,,,"16.1","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-22",,,,,," 1812","0.00",,"0.0","0.0",,"86","59",,,,,"  135",,,,"17.2","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-23",,,,,," 1600","0.00",,"0.0","0.0",,"84","62",,,,,"  135",,,,"16.1","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-24",,,,,," 1730","0.00",,"0.0","0.0",,"85","59",,,,,"  158",,,,"17.2",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-25",,,,,," 1548","0.00",,"0.0","0.0",,"85","59",,,,,"  203",,,,"17.2","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-26",,,,,," 1354","0.12",,"0.0","0.0",,"84","60",,,,,"  293",,,,"26.4",,,"    1",,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-27",,,,,," 1142","0.00",,"0.0","0.0",,"83","62",,,,,"  338",,,,"19.5",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-28",,,,,," 2106","0.00",,"0.0","0.0",,"85","58",,,,,"  203",,,,"16.1",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-29",,,,,," 1112","0.16",,"0.0","0.0",,"86","68",,,,,"  113",,,,"40.3",,,"    1",,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-04-30",,,,,," 0000","0.88",,"0.0","0.0",,"84","67",,,,,"  135",,,,"36.7",,,"    1",,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-01",,,,,," 0348","0.00",,"0.0","0.0",,"74","63",,,,,"  360",,,,"25.3",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-02",,,,,," 0254","0.01",,"0.0","0.0",,"70","55",,,,,"   68",,,,"18.3",,,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-03",,,,,," 1424","0.00",,"0.0","0.0",,"79","53",,,,,"   68",,,,"18.3",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-04",,,,,," 2142","0.14",,"0.0","0.0",,"82","69",,,,,"  113",,,,"28.9",,,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-05",,,,,," 0000","0.19",,"0.0","0.0",,"80","71",,,,,"  135",,,,"26.4",,,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-06",,,,,," 1312","2.35",,"0.0","0.0",,"84","69",,,,,"  158",,,,"27.5",,,"    1",,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-07",,,,,," 1400","0.05",,"0.0","0.0",,"71","55",,,,,"  338",,,,"25.3",,,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-08",,,,,," 1318","0.00",,"0.0","0.0",,"74","51",,,,,"  360",,,,"24.2",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-09",,,,,," 1224","0.00",,"0.0","0.0",,"82","52",,,,,"  225",,,,"19.5",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-10",,,,,," 0624","0.00",,"0.0","0.0",,"79","60",,,,,"  270",,,,"18.3",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-11",,,,,," 1754","0.04",,"0.0","0.0",,"78","51",,,,,"  360",,,,"33.3",,,"    1",,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-12",,,,,," 0006","0.00",,"0.0","0.0",,"65","47",,,,,"  360",,,,"23.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-13",,,,,," 1212","0.00",,"0.0","0.0",,"73","41",,,,,"   23",,,,"13.9",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-14",,,,,," 1230","0.00",,"0.0","0.0",,"76","48",,,,,"  180",,,,"20.8",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-05-15",,,,,," 1012","0.00",,"0.0","0.0",,"83","55",,,,,"  180",,,,"19.5","    1",,,,,,,"    1",,,,,,,,,
